,property_type,price,room_type,accommodates,wifi,parking,elevator,laundry,pool,bar,restaurant,gym,media_entertainment,air_conditioning,country
84,Hotel,4438.0,room,4,1,0,0,0,0,0,1,0,0,1,India
85,Hotel,473.0,room,4,0,0,0,0,0,0,0,0,0,1,India
86,Hotel,2667.0,room,4,0,0,0,0,0,0,1,0,1,1,India
87,Hotel,980.0,room,4,0,1,0,0,0,0,0,0,0,0,India
88,Hotel,1262.0,room,4,1,1,0,0,0,0,0,0,0,1,India
89,Lodge,300.0,room,2,0,0,0,0,0,0,1,0,0,0,India
90,Homestay,567.0,room,3,0,0,0,0,0,0,0,0,0,0,India
91,House,500.0,room,4,0,0,0,0,0,0,1,0,1,0,India
92,Resort,900.0,room,4,0,0,0,0,0,0,1,0,0,1,India
93,Homestay,756.0,room,3,0,0,0,0,0,0,0,0,0,0,India
94,Hotel,556.0,room,4,1,0,0,0,0,0,1,0,0,1,India
95,Resort,4458.0,entire_home,4,0,0,0,0,0,0,1,0,1,1,India
96,Homestay,2.0,room,2,1,0,0,0,0,0,0,0,1,1,India
97,Hotel,889.0,room,2,0,1,0,0,0,0,0,0,1,1,India
98,Hotel,1556.0,room,4,1,0,0,0,0,0,0,0,1,0,India
99,Hotel,1050.0,room,4,1,1,0,0,0,0,0,0,1,1,India
100,Resort,332.0,entire_home,3,0,1,0,0,0,0,0,0,1,1,India
101,Hotel,500.0,room,3,0,1,0,0,0,0,1,0,1,1,India
102,Villa,1700.0,room,4,0,0,0,0,0,0,0,0,1,0,India
103,Homestay,1417.0,room,3,1,0,0,0,0,0,1,0,0,0,India
104,Hotel,2267.0,room,4,0,0,0,0,0,0,0,0,1,1,India
105,Homestay,662.0,room,2,0,0,0,0,0,0,1,0,0,0,India
106,Hotel,3522.0,room,3,0,0,0,0,0,1,1,0,0,0,India
107,Resort,1649.0,room,4,0,0,0,0,0,0,0,0,0,1,India
108,Resort,880.0,room,4,0,1,0,0,0,0,0,0,1,0,India
109,Hotel,978.0,room,4,0,1,0,0,0,0,0,0,0,1,India
110,Homestay,1067.0,room,3,0,0,0,0,0,0,0,0,0,0,India
111,Hotel,945.0,room,2,1,0,0,0,0,0,1,0,1,0,India
